INFO:root:__init__
INFO:root:setup
INFO:root:start
INFO:root:connected
INFO:root:subscribed to topic=usuario/actuator_pwm
INFO:root:send message: {"temperature": 40.16583626787419}
INFO:root:send message: {"temperature": 40.22404946095155}
INFO:root:send message: {"temperature": 40.282177724780446}
INFO:root:send message: {"temperature": 40.34022118326712}
INFO:root:send message: {"temperature": 40.39817996013702}
INFO:root:send message: {"temperature": 40.45605417893512}
INFO:root:send message: {"temperature": 40.51384396302609}
INFO:root:send message: {"temperature": 40.57154943559468}
INFO:root:send message: {"temperature": 40.6291707196459}
INFO:root:send message: {"temperature": 40.686707938005284}
INFO:root:send message: {"temperature": 40.7441612133192}
INFO:root:send message: {"temperature": 40.80153066805507}
INFO:root:send message: {"temperature": 40.85881642450165}
INFO:root:send message: {"temperature": 40.91601860476927}
INFO:root:send message: {"temperature": 40.973137330790124}
INFO:root:send message: {"temperature": 41.03017272431851}
INFO:root:send message: {"temperature": 41.087124906931095}
INFO:root:send message: {"temperature": 41.14399400002716}
INFO:root:send message: {"temperature": 41.20078012482891}
INFO:root:send message: {"temperature": 41.25748340238166}
INFO:root:send message: {"temperature": 41.31410395355413}
INFO:root:send message: {"temperature": 41.370641899038716}
INFO:root:send message: {"temperature": 41.42709735935172}
INFO:root:send message: {"temperature": 41.48347045483362}
INFO:root:send message: {"temperature": 41.53976130564934}
INFO:root:send message: {"temperature": 41.59597003178847}
INFO:root:send message: {"temperature": 41.65209675306555}
INFO:root:send message: {"temperature": 41.70814158912032}
INFO:root:send message: {"temperature": 41.76410465941798}
INFO:root:send message: {"temperature": 41.81998608324944}
INFO:root:send message: {"temperature": 41.87578597973154}
INFO:root:send message: {"temperature": 41.93150446780738}
INFO:root:send message: {"temperature": 41.987141666246494}
INFO:root:send message: {"temperature": 42.042697693645174}
INFO:root:send message: {"temperature": 42.098172668426656}
INFO:root:send message: {"temperature": 42.153566708841424}
INFO:root:send message: {"temperature": 42.208879932967434}
INFO:root:send message: {"temperature": 42.26411245871037}
INFO:root:send message: {"temperature": 42.31926440380391}
INFO:root:send message: {"temperature": 42.37433588580997}
INFO:root:send message: {"temperature": 42.42932702211892}
INFO:root:send message: {"temperature": 42.484237929949906}
INFO:root:send message: {"temperature": 42.539068726351026}
INFO:root:send message: {"temperature": 42.59381952819964}
INFO:root:send message: {"temperature": 42.648490452202566}
INFO:root:send message: {"temperature": 42.70308161489638}
INFO:root:send message: {"temperature": 42.75759313264761}
INFO:root:send message: {"temperature": 42.812025121653036}
INFO:root:send message: {"temperature": 42.86637769793991}
INFO:root:send message: {"temperature": 42.92065097736619}
INFO:root:send message: {"temperature": 42.974845075620834}
INFO:root:send message: {"temperature": 43.028960108223984}
INFO:root:send message: {"temperature": 43.0829961905273}
INFO:root:send message: {"temperature": 43.13695343771407}
INFO:root:send message: {"temperature": 43.19083196479962}
INFO:root:send message: {"temperature": 43.24463188663142}
INFO:root:send message: {"temperature": 43.2983533178894}
INFO:root:send message: {"temperature": 43.351996373086195}
INFO:root:send message: {"temperature": 43.40556116656735}
INFO:root:send message: {"temperature": 43.45904781251161}
INFO:root:send message: {"temperature": 43.51245642493113}
INFO:root:send message: {"temperature": 43.565787117671725}
INFO:root:send message: {"temperature": 43.61904000441312}
INFO:root:send message: {"temperature": 43.67221519866918}
INFO:root:send message: {"temperature": 43.72531281378818}
INFO:root:send message: {"temperature": 43.778332962953016}
INFO:root:send message: {"temperature": 43.83127575918145}
INFO:root:send message: {"temperature": 43.884141315326374}
INFO:root:send message: {"temperature": 43.93692974407603}
INFO:root:send message: {"temperature": 43.989641157954246}
INFO:root:send message: {"temperature": 44.04227566932069}
INFO:root:send message: {"temperature": 44.09483339037112}
INFO:root:send message: {"temperature": 44.14731443313757}
INFO:root:send message: {"temperature": 44.19971890948868}
INFO:root:send message: {"temperature": 44.252046931129826}
INFO:root:send message: {"temperature": 44.30429860960345}
INFO:root:send message: {"temperature": 44.35647405628925}
INFO:root:send message: {"temperature": 44.40857338240443}
INFO:root:send message: {"temperature": 44.46059669900393}
INFO:root:send message: {"temperature": 44.51254411698066}
INFO:root:send message: {"temperature": 44.56441574706578}
INFO:root:send message: {"temperature": 44.61621169982887}
INFO:root:send message: {"temperature": 44.66793208567818}
INFO:root:send message: {"temperature": 44.71957701486093}
INFO:root:send message: {"temperature": 44.77114659746345}
INFO:root:send message: {"temperature": 44.8226409434115}
INFO:root:send message: {"temperature": 44.87406016247044}
INFO:root:send message: {"temperature": 44.9254043642455}
INFO:root:send message: {"temperature": 44.976673658181994}
INFO:root:send message: {"temperature": 45.02786815356557}
INFO:root:send message: {"temperature": 45.078987959522436}
INFO:root:send message: {"temperature": 45.130033185019585}
INFO:root:send message: {"temperature": 45.18100393886505}
INFO:root:send message: {"temperature": 45.2319003297081}
INFO:root:send message: {"temperature": 45.282722466039495}
INFO:root:send message: {"temperature": 45.33347045619173}
INFO:root:send message: {"temperature": 45.384144408339246}
INFO:root:send message: {"temperature": 45.43474443049864}
INFO:root:send message: {"temperature": 45.48527063052896}
INFO:root:send message: {"temperature": 45.53572311613185}
INFO:root:send message: {"temperature": 45.586101994851866}
INFO:root:send message: {"temperature": 45.63640737407664}
INFO:root:send message: {"temperature": 45.68663936103713}
INFO:root:send message: {"temperature": 45.736798062807864}
INFO:root:send message: {"temperature": 45.78688358630715}
INFO:root:send message: {"temperature": 45.83689603829732}
INFO:root:send message: {"temperature": 45.88683552538491}
INFO:root:send message: {"temperature": 45.93670215402097}
INFO:root:send message: {"temperature": 45.986496030501215}
INFO:root:send message: {"temperature": 46.036217260966296}
INFO:root:send message: {"temperature": 46.085865951402006}
INFO:root:send message: {"temperature": 46.135442207639514}
INFO:root:send message: {"temperature": 46.18494613535558}
INFO:root:send message: {"temperature": 46.2343778400728}
INFO:root:send message: {"temperature": 46.283737427159814}
INFO:root:send message: {"temperature": 46.33302500183154}
INFO:root:send message: {"temperature": 46.382240669149375}
INFO:root:send message: {"temperature": 46.431384534021475}
